date,MonthYear,year,time,occupancy,precinct,bbl,reason,dba,address,zip,floor,corp,sex,race,inspector,notes,buildings_violations,buildings_summonses,buildings_ecb,buildings_violationsCW,fire_violations,fire_summonses,fire_ecb,fire_violationsCW,police_summonses,police_arrests,police_ecb,health_summonses,health_arrests,health_ecb,citation-ANY,citation-YN
1/29/14,01/2014,2014,20:30,Bis,,MN-00199-0018,Complaint,,"89 Mulberry Street, New York, New York 10013",10013,2 & 4 Fl,,,,Parczewski Davis Santiago,"Inspection Note: Unable To Determine, As Per Tenants Long Term.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
11/1/13,11/2013,2013,14:20,Building Demolished-Gone Missing,,MN-01038-0031,Complaint,,"777 779 Eighth Avenue, New York, New York",,,,,,Davis Levine Giglio Pugach Santiago,Inspection Note: Building Demolished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
7/12/14,07/2014,2014,,Church,PBMN,MN-01213-0054,Complaint - BIS,,"150 West 83 Street, New York, New York 10024",10024,,,,,Santiago Pugach Levine,Inspection Note: Redeemer Presbyterian Church Greeter At Front Desk States No Rooms Or Apts In Building Just Church And Event Space. Unable To Determine Transient Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/3/15,01/2015,2015,,Class B,PBMN,MN-01928-0051,Complaint - BIS,,"242 West 123 Street, New York, New York 10027",10027,,,,,Santiago Pugach Giglio,Inspection Note: Premise Conforms To Dept Of Buildings Records As Class B Occupancy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
5/30/14,05/2014,2014,13:40,Class B Rooms/vacated Space,PBMS,MN-00738-0028,"execute vacate order for 3 rooms/post violations, Other",Hotel 309,"309 West 14th Street, New York, New York 10011",10011,,,Male,,Giglio Parczewski Davis Santiago Levine,Inspection Note: Partial Vacate Order Executed On Rooms 17. 41 And 59 And Violations Posted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
5/30/14,05/2014,2014,13:40,Class B Rooms/vacated Space,PBMS,MN-00738-0028,"execute vacate order for 3 rooms/post violations, Other",Hotel 309,"309 West 14th Street, New York, New York 10011",10011,,,Male,,Giglio Parczewski Davis Santiago Levine,Inspection Note: Partial Vacate Order Executed On Rooms 17. 41 And 59 And Violations Posted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
10/17/13,10/2013,2013,11:30,Closed Location,Pbbs,BK-05901-0006,Posting,,"7109 8 Avenue, New York, New York",,,,,,Santiago Giglio Levine Pugach Davis,Inspection Note: Violations Posted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
12/11/13,12/2013,2013,,Closed Location - Previously Retail Store,25,MN-01773-0018,Closing,Quick Lane Candy Store,"2054 Lexington Avenue, New York, New York 10035",10035,Ground / 2nd.,,Male,Arabic,Pugach Santiago Giglio Tsatsaronis,"Inspection Note: Lock Swap. Electricity Turned Off Unable To Open Roll Down Gates, Unable To Obtain Access To Store. XXXXXX Is The Landlord.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
12/9/13,12/2013,2013,14:30,Commercial Bldg,14,MN-00786-0076,Posting,,"252 West 37th Street, New York, New York 10018 OF AMERICA",,,,,,Davis Giglio Pugach Parczewski Santiago,Inspection Note: Posting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
6/26/14,06/2014,2014,,Commercial Building,PBMS,MN-00849-0003,Inspection for Dismissal,,"139 5th Avenue, New York, New York 10010",10010,5th,,,,Levine Santiago Parczewski Davis Giglio,"DOB 052593ZMTF02RI (Complied With),
Inspection Note: Occupied By ""real Capital Analytics"". Violations Dismissed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
6/7/14,06/2014,2014,12:10,Commercial Building,PBMS,MN-00999-0029,Complaint - BIS,,"109 West 46 Street, New York, New York 10036",10036,,,,,Pugach Levine Giglio Santiago,Inspection Note: Comm Bldg. No Exact Location Given,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
3/5/14,03/2014,2014,11:00,Commercial Building,PBMS,MN-00695-0047,IFD,,"514 West 24th Street, New York, New York 10011",10011,,,,,Davis Parczewski,"DOB 031389CMTF1LE (Complied With),
Inspection Note: If Approved",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
5/12/14,05/2014,2014,13:30,Commercial Building,PBMS,MN-01038-0029,Inspection for Dismissal,"771 8th Avenue, Nyc, New York 10036 Us","771 8th Avenue, New York, New York 10036",10036,,,,,Santiago Parczewski Davis,"DOB 110992CMTF1LE (Complied With),
Inspection Note: Ifd. Approved.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
5/9/14,05/2014,2014,12:20,Commercial Building,PBMS,MN-01025-0055,Inspection for Dismissal,,"254 West 54st, New York, New York",,2nd,,Male,,Parczewski Davis,"DOB 041501CMTF08RNS (Complied With),
DOB 021101CMTF04RNS (Complied With)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
6/11/14,06/2014,2014,,Commercial Building,PBMS,MN-00484-0012,Complaint - OSE,,"521 Broadway, New York, New York 10012",10012,,,Male,,Levine Pugach Giglio Santiago,"ECB DEPT. OF BUILDINGS 35096205K,
ECB DEPT. OF BUILDINGS 35096206M,
ECB FIRE DEPARTMENT OF NYC 11328658M,
ECB DEPT. OF BUILDINGS 35096207Y,
FD E427531 (Served),
Inspection Note: Renting Rooms From Apt 212 For More Than 30 Days. No Transient Use Observed. Adl Viols Issued.",0,0,3,0,1,0,1,0,0,0,0,0,0,0,5,Yes
3/13/14,03/2014,2014,12:40,Commercial Building,PBMS,"MN-00757-0022, MN-00757-0022",Re-Inspection,,"304 West 34th Street, New York, New York 10001",10001,,,,,Parczewski Davis Santiago Giglio,DOB 102606CZMTF07RNS (Complied With),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/14/14,01/2014,2014,13:50,Commercial Building,,MN-00785-0075,Posting,,"260 West 36th Street, New York, New York 10018",10018,,,,,Santiago Pugach,"ECB DOB 35034162X,
ECB DOB 35034161Y",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Yes
1/10/14,01/2014,2014,20:00,Commercial Building,14,MN-00785-0075,"Complaint, bis",,"260 West 36 Street, New York, New York 10018",10018,3,,,,Pugach Santiago Davis,"ECB DOB 35034161Y,
ECB DOB 35034162X,
Inspection Note: No Activity As Per Complt. Illegal Studios. Violations Issued.",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Yes
6/12/14,06/2014,2014,,Commercial Building,PBMS,MN-01069-0001,Complaint - BIS,,"536 West 41 Street, New York, New York 10036",10036,,,,,Santiago Levine Parczewski Giglio Davis,Inspection Note: No Evidence Of Game Show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
5/12/14,05/2014,2014,12:10,Commercial Building,PBMS,MN-00803-0065,Inspection for Dismissal,"146 W 28th St, New York, Ny 10001","146 West 28th Street, New York, New York 10001",10001,,,,,Santiago Parczewski Davis,"DOB 020901CMTF06RNS (Complied With),
Inspection Note: Ifd.Approved.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
6/25/14,06/2014,2014,,Commercial Building,PBMS,MN-00198-0027,"SWO/Vacate Re-inspection, Inspection for Dismissal",,"234 Canal Street, New York 12401",12401,,,Male,,Davis Parczewski Tsatsaronis,"ECB DEPT. OF BUILDINGS 35096254R,
DOB 012308ZMTF13EM (Complied With),
DOB 072808ZMTF02EM (Complied With),
DOB 031908ZMTF04EM (Complied With),
DOB 080208ZMTF01EM (Complied With),
DOB 031908CMTF03EM (Complied With),
DOB 072808ZMTF01EM (Complied With),
DOB 012308ZMTF22EM (Complied With),
Inspection Note: Swo. Lifted",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes
5/16/14,05/2014,2014,9:10,Commercial Building,PBMS,MN-00197-0021,Posting,,"246 Canal Street, New York, New York 10304",10304,,,,,Parczewski Davis,Inspection Note: Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
5/21/14,05/2014,2014,12:10,Commercial Building,PBMS,MN-00786-0076,Audit,,"252 West 37th Street, New York, New York 10018",10018,,,,,Pugach Santiago Davis Levine Giglio,Inspection Note: Audit Passed. In Compliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2/24/14,02/2014,2014,12:00,Commercial Building,PBMS,MN-00011-0011,"vacate check, SWO/Vacate",,"22 Beaver Street, New York, New York 10004",10004,,,Male,,Parczewski Santiago Pugach Giglio Davis Levine,"ECB DEPT. OF BUILDINGS 35034241Y,
ECB DEPT. OF BUILDINGS 35034240M,
FD E404998 (Served),
Inspection Note: 3 Floor Under Renovation Against Swo/vacate Order. 4 Floor Occupied By Koutsomitis Architects. Completely Renovated And In Violation Of Swo/vacate Order. Instructed To Vacate Premises And Viols Issued.",0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,Yes
4/11/14,04/2014,2014,12:20,Commercial Building,PBMS,MN-01034-0063,Inspection for Dismissal,,"614 9th Avenue, New York, New York",,,,,,Giglio Davis Parczewski,"ECB DEPT. OF BUILDINGS 35034427M,
DOB 100993ZMTF06RI (Complied With),
DOB 100793CMTF07RI (Complied With),
DOB 100793CMTF08RI (Complied With),
DOB 100793ZMTF05RI (Complied With),
Inspection Note: Violations Dismissed. Ecb Issued",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes
3/7/14,03/2014,2014,10:30,Commercial Building,PBMS,"MN-00472-0012, MN-00472-0012","Complaint, bis",,"255 Broome Street, New York, New York 10002",10002,7,,,,"Pugach Parra,Elan. Santiago Davis Giglio","ECB DEPT. OF BUILDINGS 35034339M,
ECB DEPT. OF BUILDINGS 35034340J,
FD E409750 (Served),
Inspection Note: Unable To Determine As Per Tenant. Illegal Class 'a.Apt.",0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,Yes
2/20/14,02/2014,2014,18:20,Commercial Building,PBMS,MN-00799-0009,Complaint,,"163 West 23 Street, New York, New York 10011",10011,,,,,Levine Santiago Giglio Pugach,Inspection Note: Unable To Determine Transient Use. Commercial Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/29/14,01/2014,2014,15:00,Commercial Building,,MN-00831-0010,"ifd, SWO/Vacate",,"39 West 29 Street, New York, New York",,,,,,Davis Santiago Parczewski,"ECB DEPT. OF BUILDINGS 35034137Y,
FD E375845 (Complied With),
Inspection Note: Swo Lift Denied",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes
2/12/14,02/2014,2014,11:50,Commercial Building,PBMS,MN-00813-0016,IFD,,"1375 Broadway, New York, New York 10018",10018,,,Male,,Pugach Davis Santiago Giglio,"ECB DEPT. OF BUILDINGS 35034232M,
ECB DEPT. OF BUILDINGS 35034231K,
Inspection Note: Ifd Failed",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Yes
6/11/14,06/2014,2014,,Commercial Building,PBBN,BK-01130-0039,Complaint - OSE,,"880 Pacific Street, New York, New York 11238",11238,,,,,Giglio Santiago Levine Pugach,Inspection Note: Unable To Determine Transient Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2/12/14,02/2014,2014,12:30,Commercial Building,PBMS,MN-00813-0055,Other,,"1385 Broadway, New York, New York 10018",10018,,,,,Giglio Davis Pugach Santiago,ECB DEPT. OF BUILDINGS 35034233Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes
6/6/14,06/2014,2014,13:20,Commercial Building,PBMS,MN-00813-0016,SWO/Vacate Re-inspection,,"1375 Broadway, New York, New York 10018",10018,,,,,Santiago Parczewski Davis,"ECB DEPT. OF BUILDINGS 35096182R,
ECB DEPT. OF BUILDINGS 35096183Z,
Inspection Note: Swo.Lift Approved.",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Yes
4/8/15,04/2015,2015,,Commercial Building,PBMS,MN-00830-0006,Posting Violation,,"57 West 28th Street, New York, New York 10001",10001,,,,,Davis Parczewski,"ECB DEPT. OF BUILDINGS 35151773H,
ECB 35151774J,
Inspection Note: Post",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes
2/6/15,02/2015,2015,,Commercial Building,PBMS,MN-07601-0037,Inspection for Dismissal,,"555 8th Avenue, New York, New York 10018",10018,,,Male,,Parczewski Santiago Davis,"ECB DEPT. OF BUILDINGS 35151528Y,
ECB DEPT. OF BUILDINGS 35151529X,
Inspection Note: Ifd Approved",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Yes
1/30/15,01/2015,2015,,Commercial Building,PBMS,MN-00812-0056,Inspection for Dismissal,,"1367 Broadway, New York, New York 10018",10018,,,,,Parczewski Davis,"ECB DEPT. OF BUILDINGS 35151470K,
ECB DEPT. OF BUILDINGS 35151472Y,
ECB DEPT. OF BUILDINGS 35151473X,
ECB DEPT. OF BUILDINGS 35151474H,
ECB DEPT. OF BUILDINGS 35151471M,
DOB 050693CMTF1RI (Complied With),
DOB 050493CMTF3RI (Complied With),
DOB 050493CMTF2RI (Complied With)",0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,Yes
1/15/15,01/2015,2015,,Commercial Building,PBMS,MN-00210-0005,"fd, Re-Inspection",,"336 Canal Street, New York, New York",,,,,,Santiago Giglio Levine Pugach,"FD 44619 (Complied With),
FD 44623 (Complied With),
FD 44622 (Complied With),
Inspection Note: Complied With",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
3/11/15,03/2015,2015,,Commercial Building,PBMS,MN-00204-0032,Posting,,"177 Canal Street, New York, New York 10013",10013,,,,,Pugach Davis Parczewski Santiago,Inspection Note: Post.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2/25/15,02/2015,2015,,Commercial Building,PBMS,MN-00778-0007,Posting Violation,,"253 West 28 Street, New York, New York 10001",10001,3,,Male,,Davis Parczewski,Inspection Note: Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
4/14/15,04/2015,2015,,Commercial Building,PBMS,MN-00209-0024,Inspection for Dismissal,,"120 Lafayette Street, New York, New York 10013",10013,,,,,Davis Parczewski,"ECB DEPT. OF BUILDINGS 35151816Z,
Inspection Note: Swo.Approved .",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes
2/6/15,02/2015,2015,,Commercial Building,PBMS,MN-00830-0003,Inspection for Dismissal,,"57 West 28th Street, New York, New York 10001",10001,,,Male,,Parczewski Davis Santiago,"ECB DEPT. OF BUILDINGS 35151525Z,
ECB DEPT. OF BUILDINGS 35151527M,
ECB 35151526K,
FD E436232 (Served),
Inspection Note: Ifd Denied .",0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,Yes
3/10/15,03/2015,2015,,Commercial Building,PBMS,MN-204-32,Complaint - OSE,,"177 Canal Street, New York, New York",,5fl,,Male,,Parczewski Pugach Davis,"ECB DEPT. OF BUILDINGS 35151683Y,
ECB DOB 35151684X,
Inspection Note: Unable To Determine. Office In Use.",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Yes
2/17/15,02/2015,2015,,Commercial Building,PBMS,MN-00778-0007,Complaint - BIS,,"253 West 28 Street, New York, New York 10001",10001,3fl.,,,,Parczewski Davis,Inspection Note: No Access To Floor.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2/24/15,02/2015,2015,,Commercial Building,PBMS,MN-00836-0062,Complaint - BIS,,"34 West 35th Street, New York, New York 10001",10001,,,,,Parczewski Davis,Inspection Note: No Access To Bldg.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2/24/15,02/2015,2015,,Commercial Building,PBMS,MN-00778-0007,Complaint - BIS,,"253 West 28 Street, New York, New York 10001",10001,3fl.,,,,Parczewski Davis,"ECB DOB 35151621Z,
ECB DEPT. OF BUILDINGS 35151620R,
ECB DOB 35151622K,
ECB DOB 35151623M,
Room 3fl: 1 Occupants (02/23/2015 - 03/11/2015) Origin: German Booking:,
-Interview Notes: Unable To Provide Paperwork.",0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,Yes
4/8/15,04/2015,2015,,Commercial Building,PBMS,MN-00788-0046,Inspection for Dismissal,,"526 7th Avenue, New York, New York 10018",10018,,,,,Davis Parczewski,"DOB 043002CMTF02RNS (Complied With),
DOB 043002ZMTF01RNS (Complied With),
DOB 043002CMTF03RNS (Complied With),
Inspection Note: Ifd. Approved.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/29/15,01/2015,2015,,Commercial Building,PBBN,BK-03132-0005,Complaint - BIS,,"805 Broadway, Brooklyn, New York 11206",11206,,,,,Parczewski Davis,Inspection Note: Unable To Determine As Per Tenant #1. All 3 Apts Long Term.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2/20/15,02/2015,2015,,Commercial Building,PBMS,MN-01302-0051,SWO/Vacate Re-inspection,,"511 Lexington Avenue, New York, New York 10017",10017,,,,,Parczewski Davis Santiago,Inspection Note: So Lifted.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
7/1/14,07/2014,2014,,Commercial Building,PBMS,MN-00830-0006,Inspection for Dismissal,,"57 West 28th Street, New York, New York 10001",10001,,,,,Pugach Santiago Davis,Inspection Note: Ifd. Denied.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
10/28/14,10/2014,2014,,Commercial Building,PBMS,MN-01260-0010,SWO/Vacate Re-inspection,,"55 West 44th Street, New York, New York 10036",10036,,,,,Davis Parczewski,Inspection Note: Swo. Lifted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
7/18/14,07/2014,2014,,Commercial Building,PBMS,MN-00761-0020,Inspection for Dismissal,,"325 West 37 Street, New York, New York",,,,,,Levine Davis Parczewski,"ECB DEPT. OF BUILDINGS 35096359N,
ECB DEPT. OF BUILDINGS 35096360K,
DOB 010593CMTF01RI (Dismissed),
DOB 010593CMTF09RI (Dismissed),
DOB 010593CMTF03RI (Dismissed),
DOB 010593CMTF10RI (Dismissed),
DOB 010593CMTF05RI (Dismissed),
DOB 010593CMTF04RI (Dismissed),
DOB 010593CMTF02TI (Dismissed),
DOB 010593CMTF07RI (Dismissed),
DOB 010593CMTF08RI (Dismissed),
DOB 010593CMTF06RI (Dismissed)",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Yes
8/21/14,08/2014,2014,,Commercial Building,PBMS,MN-00775-0064,Complaint - BIS,,"244 West 26 Street, New York, New York 10001",10001,,,,,Pugach Levine Santiago,Inspection Note: Unable To Gain Entry To The Basement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
10/8/14,10/2014,2014,,Commercial Building,PBBS,BK-05909-0147,Inspection for Dismissal,,"475 73rd Street, New York, New York 11209",11209,,,Male,,Giglio Levine Parczewski Pugach,"DOB 071013CMTF13KP (Complied With),
DOB 071013ZMTF12KP (Complied With),
DOB 071013CMTF04KP (Complied With),
DOB 071013CMTF22KP (Complied With),
Inspection Note: Swo Lift Granted Ifds Granted",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
8/1/14,08/2014,2014,,Commercial Building,PBMS,MN-00781-0001,Inspection for Dismissal,,"558 8th Avenue, New York 12189",12189,,,,,Parczewski Giglio Davis Santiago,"ECB DEPT. OF BUILDINGS 35096401H,
DOB 072303CMTF01RNS (Complied With),
DOB 101902CMTF08EC (Complied With),
DOB 112202CZMTF09RNS (Complied With),
DOB 112202CZMTF07RNS (Complied With)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes
9/19/14,09/2014,2014,,Commercial Building,PBMS,MN-01023-0002,Inspection for Dismissal,,"856 8th Avenue, New York, New York 10019",10019,,,,,Santiago Parczewski Davis,"DOB 112994ZMTF01RI (Complied With),
Inspection Note: Ifd Approved",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
